iter	Passed	Remaining
0	8	8104
1	13	6924
2	21	7037
3	25	6385
4	30	6017
5	36	6052
6	40	5795
7	45	5679
8	50	5551
9	56	5618
10	61	5509
11	65	5405
12	72	5472
13	76	5392
14	81	5332
15	89	5474
16	93	5424
17	98	5360
18	104	5417
19	109	5367
20	114	5318
21	120	5362
22	125	5311
23	130	5294
24	136	5337
25	141	5298
26	145	5257
27	153	5326
28	159	5343
29	167	5400
30	172	5401
31	178	5399
32	185	5443
33	192	5461
34	199	5487
35	204	5479
36	210	5491
37	217	5517
38	224	5534
39	230	5543
40	236	5538
41	243	5547
42	250	5582
43	258	5617
44	265	5635
45	271	5638
46	276	5612
47	284	5638
48	290	5643
49	298	5669
50	306	5711
51	314	5730
52	324	5793
53	334	5868
54	342	5881
55	350	5901
56	360	5958
57	363	5903
58	369	5897
59	382	5997
60	409	6309
61	448	6778
62	461	6871
63	483	7065
64	494	7110
65	501	7096
66	512	7133
67	519	7123
68	527	7111
69	536	7129
70	546	7154
71	557	7179
72	564	7164
73	575	7204
74	585	7223
75	593	7216
76	603	7237
77	610	7217
78	622	7254
79	629	7242
80	641	7275
81	652	7302
82	659	7282
83	671	7321
84	678	7306
85	691	7344
86	703	7379
87	709	7358
88	720	7374
89	727	7354
90	738	7372
91	744	7352
92	751	7333
93	762	7344
94	771	7345
95	781	7362
96	789	7349
97	804	7405
98	816	7426
99	828	7452
100	834	7429
101	844	7433
102	851	7414
103	860	7412
104	879	7492
105	892	7525
106	899	7505
107	908	7503
108	915	7484
109	925	7484
110	931	7460
111	937	7431
112	944	7413
113	954	7414
114	962	7405
115	970	7396
116	978	7381
117	987	7382
118	994	7363
119	1003	7358
120	1010	7338
121	1020	7341
122	1026	7322
123	1037	7326
124	1043	7307
125	1052	7298
126	1059	7281
127	1067	7275
128	1074	7256
129	1084	7254
130	1095	7265
131	1105	7267
132	1111	7248
133	1121	7246
134	1127	7226
135	1136	7220
136	1142	7199
137	1150	7186
138	1157	7168
139	1164	7155
