pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
17100,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol ,25171.0,35426.0,34209.0,21397.0,214153.0,26195.0,35519.0,33562.0,30236.0,202042.0,431180.0,29238.09,106970.0,305375.0,237614.0,12626.54,42061.0,27835.0,19608.99,19490.28,14597.87,10803.11,30437.34,20547.8,86373.0,154821.0,19014.65,13882.79,18461.01,403456.0,8121.712,325870.1,17653.68,466459.0,76080.59,397372.0,206126.0,425199.0,24550.37,144897.0,18831.49,36871.0,300054.0,568744.0,679193.0,2868.444,306974.0,25128.89,380882.0,92716.0,25559.0,20315.15,114036.9,246242.0,469486.0,444527.0,233639.0,378752.0,220692.0,500044.0,52691.0,1010859.0,86177.0,407579.0,241869.0,1201489.0,171015.3,289336.9,348162.6,34915.0,22898.0,566554.0,1036059.0,311560.0,177738.0,498844.0,165079.0,41527.0,385117.0,567857.0,339967.0,690016.0,333985.0,227884.0,33063.0,164211.0,119400.0,329474.0,1164955.0,70388.0,170564.0,144907.0,407829.0,94436.0,300622.0,346261.0,290814.8,337226.0,57629.0,522441.0,434285.3,245283.0,614891.0,458823.0,194749.3,473113.0,254386.4,244790.0,317912.0,547618.0,63758.0,282731.0,317051.0,146581.0,314577.0,401592.0,609138.0,88728.0,389474.0,25748.0,61419.0
6429350,"1-[(1R,7R)-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone  ",7408.786,10494.0,12477.32,15453.0,9553.717,8565.384,9487.618,13444.0,13670.0,13849.0,17507.82,10346.0,16189.0,8438.0,22258.79,13419.0,14966.0,19252.0,8804.0,11281.0,11819.0,9555.0,12563.5,11894.0,13206.0,17511.9,8106.0,8462.0,9834.596,17372.0,8921.497,6147.39,10409.84,6870.0,15771.63,6102.0,10005.0,6817.0,6615.0,14919.0,8293.0,8945.0,20005.0,17760.0,19044.29,20172.0,15264.0,20327.42,16711.0,10922.07,8881.243,11528.51,11818.0,11040.48,7268.941,17199.0,12631.0,13872.0,7884.0,8172.0,21932.72,16616.0,15974.0,18918.0,20490.65,16162.85,18520.0,9016.203,10775.0,17085.51,13606.99,6431.705,12147.0,6724.0,6209.0,9052.0,11993.0,10042.7,15923.0,11479.0,11624.39,17323.0,18740.0,9913.434,14934.0,15211.16,10024.0,13400.0,10770.0,22465.0,7861.0,16192.0,9622.308,9817.0,12082.87,13347.0,7624.0,16545.21,15824.0,18726.24,11136.14,18590.0,22577.0,11470.0,6113.0,4860.0,8746.811,12435.0,8841.0,9098.0,6254.0,6004.0,13155.0,5637.0,9060.0,18321.78,12467.64,10605.0,20896.0,15475.0,11807.0
16821,5-octyloxolan-2-one  ,14733.0,13814.0,16758.0,6268.0,7703.0,11520.0,5838.0,11079.0,12114.0,10435.0,15523.0,11795.0,9334.0,18101.0,7608.0,12010.0,9380.0,9224.0,8087.0,1853.588,2288.061,2919.0,2289.786,2290.279,3031.0,2127.728,2487.0,3351.607,2487.517,2642.03,3125.0,1658.98,2078.813,2437.396,5148.0,5434.0,5272.0,2522.0,2019.267,2520.127,17377.0,6104.0,2090.91,2648.281,5635.0,1624.227,3437.0,3673.0,1946.122,2162.025,1776.747,1418.007,2403.46,5996.0,5200.0,9477.0,10369.0,6770.0,8918.0,18290.0,11413.0,16455.0,12854.0,8622.0,8025.0,5298.0,7033.0,5248.0,2936.812,3202.551,2566.245,2183.943,2513.058,5346.0,2325.258,1850.987,1489.926,4635.279,2052.609,2706.0,2923.0,7525.0,2410.642,2053.102,3182.0,2588.421,1908.937,2021.558,11442.0,24331.0,5868.0,8156.0,12025.0,16821.0,6800.0,6396.0,7219.0,12584.0,17797.0,15685.0,9046.0,7875.0,18081.0,9894.112,1733.425,3122.0,2400.442,2084.555,2640.0,3479.0,7001.0,2677.368,2902.0,4049.0,2427.898,5869.0,3800.0,4527.0,8349.0,763.3093,2286.814
136569,"2,3,3-trimethylpenta-1,4-diene  ",19142.0,19610.0,29740.0,23105.0,44749.0,26945.0,23875.0,43728.0,40643.0,42665.0,65354.0,27494.0,24140.0,76560.0,46505.0,506098.0,147204.0,42305.0,22833.0,21287.0,18627.0,21298.0,28696.0,44998.0,17984.0,45602.0,28326.0,38112.0,14288.0,64042.0,19069.0,47497.0,17605.0,98568.0,20796.0,96623.0,36063.0,75339.0,35178.0,57633.0,15122.0,35572.0,72234.0,116342.0,146737.0,30556.84,46613.0,248262.0,60203.0,36462.0,22580.0,15203.0,28591.0,15613.0,51962.0,79346.0,39232.0,74171.0,44044.0,128017.0,23100.0,166661.0,33550.0,79478.0,64775.0,167837.0,28295.0,65142.0,76362.0,51347.0,35927.0,80707.0,82957.0,73454.0,51822.0,66196.0,51752.0,15999.0,79605.0,164629.0,142100.0,95113.0,90439.0,41028.0,17372.0,49452.0,21982.0,78531.0,128328.0,10710.0,42866.0,797706.0,70340.0,27825.0,74558.0,57226.0,64322.0,101016.0,33069.0,101522.0,101293.0,94679.0,134990.0,111175.0,47761.0,94910.0,68603.0,38763.0,108120.0,116549.0,9846.0,60477.0,90002.0,37877.0,53322.0,111686.0,98429.0,15369.0,64089.0,12191.0,13031.0
146102,"2,6-ditert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one  ",8074.558,9534.439,10044.05,8678.45,17280.0,8977.0,7383.869,9307.986,19480.0,9839.0,13753.0,11385.33,15865.0,48497.0,14553.0,15532.68,15950.0,9953.0,15981.0,7390.379,7491.0,8982.0,6813.0,7807.542,13107.0,8859.0,11137.0,8844.0,11489.0,7819.0,8915.0,7542.0,7889.0,13302.0,17714.0,15517.0,22100.0,8698.047,9859.0,10431.1,17351.0,14438.0,12510.94,12059.46,17538.0,12496.0,14029.0,10124.0,7486.0,9686.0,6430.534,7793.0,10193.0,4603.543,5731.0,14584.27,8501.885,7991.0,9583.454,19814.0,13650.0,14584.0,14034.0,9856.0,15328.85,9526.0,19186.0,9912.0,10736.0,11389.0,8733.0,7898.0,9211.0,25892.0,11328.64,8839.0,5133.389,9865.09,8970.602,11879.0,8702.057,24401.0,8809.899,9984.0,15740.0,8979.0,10269.68,10784.0,10380.0,22937.19,6447.487,7966.0,15601.0,10475.17,12075.0,7269.0,7127.357,11714.82,14866.0,12207.08,13968.0,11316.43,19129.0,15889.73,5686.425,13376.0,8387.0,7828.0,11485.0,10424.0,28651.0,8233.44,12896.0,19726.0,9628.0,35441.0,17346.0,14788.0,22372.0,6331.0,10873.0
29996,N-propylhexan-1-amine  ,148237.0,151944.0,244725.0,144601.0,110868.0,118199.0,111010.0,189230.0,185884.5,189689.7,204868.0,170920.0,204041.0,124020.0,212308.0,166386.0,225522.0,179261.0,104342.3,88774.0,104727.0,99910.0,107256.0,116257.0,118276.0,101650.0,95858.0,86455.0,115779.0,160884.0,122868.0,75419.0,137113.0,100118.0,151595.0,137334.0,139429.0,138168.0,124021.0,133699.0,145945.0,169818.0,170611.0,148100.0,166393.0,231830.0,135570.0,284693.0,128509.0,85341.0,71401.0,84559.0,103058.8,135279.0,126288.0,223682.0,149651.0,126643.0,132614.0,158202.0,185257.0,222822.0,182517.0,176614.0,252460.0,173963.0,221847.0,106083.0,99610.0,153313.0,103381.0,89127.0,120406.0,109335.0,66016.0,82301.0,100447.0,99455.0,167714.9,163189.0,126893.0,188694.0,185713.0,114408.0,96188.0,129371.0,91601.0,260064.0,236610.0,170279.0,131113.0,208778.0,140690.0,69666.0,144054.0,158617.0,98501.0,201272.0,117251.0,208115.0,208169.0,229790.0,197652.0,176921.0,77732.0,113895.0,89578.0,86105.0,78775.0,99992.0,79421.0,81173.0,114769.0,20194.47,81365.0,166280.0,132731.0,193001.0,180329.0,83793.0,88761.0
7720,2-ethylhexan-1-ol  ,623054.0,1049345.0,881756.0,895901.0,638956.0,911734.0,489266.0,548009.0,1312278.0,416394.0,1031269.0,1694665.0,1262815.0,691424.0,642068.0,721124.0,712443.0,498110.0,1321583.0,435619.0,409548.0,302004.0,689718.0,9932.873,277201.0,1155610.0,826439.0,776611.0,894328.0,1098997.0,185943.0,667630.0,520883.0,2330514.0,813201.0,1119604.0,498611.0,1195430.0,1055935.0,527168.0,846673.0,999048.0,1144074.0,1653592.0,1462699.0,2303.282,566102.0,1222567.0,843489.0,438326.0,880832.0,1257111.0,366220.0,714519.2,1238011.0,1518045.0,481644.0,877749.0,479238.0,1914251.0,567260.0,1988090.0,1238655.0,898000.0,5503.919,2120394.0,1122630.0,784391.0,1615405.0,642637.0,335635.0,860498.0,744859.0,969608.0,487795.0,1412398.0,448870.0,398079.0,1354479.0,2101274.0,740957.0,1470946.0,1290421.0,499750.0,469609.0,539595.0,421170.0,1323730.0,1816368.0,967064.0,607379.0,651647.0,782037.0,1230122.0,828481.0,746313.0,829090.0,1366970.0,571969.0,1696705.0,999484.0,1023323.0,2299394.0,1478810.0,755132.0,771796.0,722247.0,607234.0,1973670.0,1509207.0,377930.0,860428.0,745634.0,314776.0,736928.0,1053508.0,1183646.0,696256.0,858795.0,436068.0,668131.0
13596727,2-but-3-enoxycarbonylbenzoic acid  ,8061.0,12293.0,16244.1,8661.515,8965.0,12722.0,6899.33,11760.0,11863.0,10990.0,56760.0,11579.0,12283.0,13736.3,15147.0,10731.0,13258.0,58388.0,10686.0,6853.0,24544.0,26291.0,26790.0,22130.0,23203.0,24912.55,6851.0,5386.0,5052.0,28637.0,35508.0,7188.0,24253.0,8233.0,10340.0,13017.0,10133.0,7605.0,6275.0,40814.34,9700.0,12945.0,57188.0,37402.0,51381.38,38580.0,38547.0,54389.0,30448.0,30381.0,22425.0,21441.0,24586.0,10007.3,8849.54,14206.0,13530.77,17662.0,12531.31,12133.0,11522.0,13718.0,10505.0,14056.0,21024.0,12860.0,16084.0,9867.0,22728.0,28397.0,5554.0,6274.0,6505.561,7480.0,7919.0,4848.0,24134.0,24507.0,35899.0,16209.0,11332.0,54113.0,46903.0,24141.0,21247.0,29871.0,22420.0,4351.724,11426.0,12444.0,6957.0,10760.0,14511.0,12665.0,13815.0,33498.0,9186.0,12438.0,13978.0,13072.0,15842.0,64972.0,52065.23,12126.0,7510.0,5178.0,23373.0,22956.0,5148.0,7458.0,4724.943,6063.0,5728.0,7838.0,21026.91,42448.0,11180.2,10009.29,46150.0,17450.0,23944.0
551986,"2-[(2,4,4,6,6,8,8-heptamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocan-2-yl)oxy]-2,4,4,6,6,8,8,10,10-nonamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane  ",6892.533,15218.0,10824.05,9415.0,5740.0,10520.0,9773.209,12605.0,15045.0,11739.0,10742.67,14935.65,9678.0,13704.23,8280.661,7289.627,7460.0,11975.0,20164.0,4771.76,5766.0,7559.479,11842.29,8381.0,9463.0,11070.21,7152.0,4161.0,5779.0,8195.0,10163.0,5572.0,5003.585,5549.144,40590.0,20585.0,4292.45,14132.0,9783.0,7663.0,10652.0,15727.0,15622.29,12383.0,9406.0,8773.0,6723.0,11369.0,9074.0,5387.0,9206.0,5725.0,8352.273,5666.0,6074.0,10485.0,6301.967,13112.66,9647.493,32887.0,7168.0,7193.03,6822.226,7939.0,13281.0,10272.53,5741.779,5195.0,6114.152,6797.0,10511.0,7718.0,4530.394,4119.0,5823.0,6597.0,5786.0,5372.0,12221.86,9844.0,30005.0,10236.0,10475.0,5741.0,7320.0,8096.0,8056.262,3020.903,5417.0,14366.0,4522.818,12727.23,13360.0,19414.0,10978.79,9929.532,22354.23,6145.193,14628.0,12102.65,10413.0,18851.55,16784.0,9991.33,5346.0,8608.082,6022.453,5742.0,4941.0,4347.0,6616.0,10584.0,4032.0,5816.0,4531.707,12447.0,9224.0,14456.0,14739.0,6474.0,6453.0
23284,"[2,2,4-trimethyl-3-(2-methylpropanoyloxy)pentyl] 2-methylpropanoate  ",111573.0,260944.0,258261.0,249730.0,181964.0,193911.0,139529.0,290363.0,208200.0,140310.0,164319.0,144522.0,272429.0,161052.0,461411.5,201342.0,233660.0,306294.0,157402.0,113502.0,107130.0,123314.0,167620.0,120170.0,112823.0,207108.0,145008.0,107786.0,139495.0,62491.0,102587.0,82529.0,85433.0,98680.0,161060.0,176570.0,259086.0,423354.0,156357.0,206208.0,177175.0,205038.0,813238.0,229699.0,141298.0,266562.0,121222.0,199222.0,102755.0,169659.0,156673.0,76555.0,129357.0,93765.0,70908.0,355303.0,132534.0,251388.0,149909.0,201121.0,116929.0,104849.0,192947.0,243393.0,283373.0,159255.0,190614.0,117935.0,71746.0,104232.0,105997.0,100139.0,143758.0,131682.0,125429.0,61179.0,126872.0,109877.0,126491.0,314189.0,257466.0,89451.0,174334.0,480878.0,111856.0,146970.0,285902.0,82283.0,107236.0,125620.0,89915.0,79419.0,238813.0,177942.0,220885.0,104386.0,134664.0,216007.0,181231.0,296460.0,243247.0,220165.0,101184.0,172726.0,130744.0,37746.0,133912.0,114088.0,72431.0,128346.0,76419.0,88930.0,121649.0,175577.0,147055.0,272172.0,263466.0,144348.0,196443.0,66035.0,68384.0
