1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
25171,35426,34209,21397,214153,26195,35519,33562,30236,202042,431180,29238.09,106970,305375,237614,12626.54,42061,27835,19608.99,19490.28,14597.87,10803.11,30437.34,20547.8,86373,154821,19014.65,13882.79,18461.01,403456,8121.712,325870.1,17653.68,466459,76080.59,397372,206126,425199,24550.37,144897,18831.49,36871,300054,568744,679193,2868.444,306974,25128.89,380882,92716,25559,20315.15,114036.9,246242,469486,444527,233639,378752,220692,500044,52691,1010859,86177,407579,241869,1201489,171015.3,289336.9,348162.6,34915,22898,566554,1036059,311560,177738,498844,165079,41527,385117,567857,339967,690016,333985,227884,33063,164211,119400,329474,1164955,70388,170564,144907,407829,94436,300622,346261,290814.8,337226,57629,522441,434285.3,245283,614891,458823,194749.3,473113,254386.4,244790,317912,547618,63758,282731,317051,146581,314577,401592,609138,88728,389474,25748,61419
7408.786,10494,12477.32,15453,9553.717,8565.384,9487.618,13444,13670,13849,17507.82,10346,16189,8438,22258.79,13419,14966,19252,8804,11281,11819,9555,12563.5,11894,13206,17511.9,8106,8462,9834.596,17372,8921.497,6147.39,10409.84,6870,15771.63,6102,10005,6817,6615,14919,8293,8945,20005,17760,19044.29,20172,15264,20327.42,16711,10922.07,8881.243,11528.51,11818,11040.48,7268.941,17199,12631,13872,7884,8172,21932.72,16616,15974,18918,20490.65,16162.85,18520,9016.203,10775,17085.51,13606.99,6431.705,12147,6724,6209,9052,11993,10042.7,15923,11479,11624.39,17323,18740,9913.434,14934,15211.16,10024,13400,10770,22465,7861,16192,9622.308,9817,12082.87,13347,7624,16545.21,15824,18726.24,11136.14,18590,22577,11470,6113,4860,8746.811,12435,8841,9098,6254,6004,13155,5637,9060,18321.78,12467.64,10605,20896,15475,11807
14733,13814,16758,6268,7703,11520,5838,11079,12114,10435,15523,11795,9334,18101,7608,12010,9380,9224,8087,1853.588,2288.061,2919,2289.786,2290.279,3031,2127.728,2487,3351.607,2487.517,2642.03,3125,1658.98,2078.813,2437.396,5148,5434,5272,2522,2019.267,2520.127,17377,6104,2090.91,2648.281,5635,1624.227,3437,3673,1946.122,2162.025,1776.747,1418.007,2403.46,5996,5200,9477,10369,6770,8918,18290,11413,16455,12854,8622,8025,5298,7033,5248,2936.812,3202.551,2566.245,2183.943,2513.058,5346,2325.258,1850.987,1489.926,4635.279,2052.609,2706,2923,7525,2410.642,2053.102,3182,2588.421,1908.937,2021.558,11442,24331,5868,8156,12025,16821,6800,6396,7219,12584,17797,15685,9046,7875,18081,9894.112,1733.425,3122,2400.442,2084.555,2640,3479,7001,2677.368,2902,4049,2427.898,5869,3800,4527,8349,763.3093,2286.814
19142,19610,29740,23105,44749,26945,23875,43728,40643,42665,65354,27494,24140,76560,46505,506098,147204,42305,22833,21287,18627,21298,28696,44998,17984,45602,28326,38112,14288,64042,19069,47497,17605,98568,20796,96623,36063,75339,35178,57633,15122,35572,72234,116342,146737,30556.84,46613,248262,60203,36462,22580,15203,28591,15613,51962,79346,39232,74171,44044,128017,23100,166661,33550,79478,64775,167837,28295,65142,76362,51347,35927,80707,82957,73454,51822,66196,51752,15999,79605,164629,142100,95113,90439,41028,17372,49452,21982,78531,128328,10710,42866,797706,70340,27825,74558,57226,64322,101016,33069,101522,101293,94679,134990,111175,47761,94910,68603,38763,108120,116549,9846,60477,90002,37877,53322,111686,98429,15369,64089,12191,13031
8074.558,9534.439,10044.05,8678.45,17280,8977,7383.869,9307.986,19480,9839,13753,11385.33,15865,48497,14553,15532.68,15950,9953,15981,7390.379,7491,8982,6813,7807.542,13107,8859,11137,8844,11489,7819,8915,7542,7889,13302,17714,15517,22100,8698.047,9859,10431.1,17351,14438,12510.94,12059.46,17538,12496,14029,10124,7486,9686,6430.534,7793,10193,4603.543,5731,14584.27,8501.885,7991,9583.454,19814,13650,14584,14034,9856,15328.85,9526,19186,9912,10736,11389,8733,7898,9211,25892,11328.64,8839,5133.389,9865.09,8970.602,11879,8702.057,24401,8809.899,9984,15740,8979,10269.68,10784,10380,22937.19,6447.487,7966,15601,10475.17,12075,7269,7127.357,11714.82,14866,12207.08,13968,11316.43,19129,15889.73,5686.425,13376,8387,7828,11485,10424,28651,8233.44,12896,19726,9628,35441,17346,14788,22372,6331,10873
148237,151944,244725,144601,110868,118199,111010,189230,185884.5,189689.7,204868,170920,204041,124020,212308,166386,225522,179261,104342.3,88774,104727,99910,107256,116257,118276,101650,95858,86455,115779,160884,122868,75419,137113,100118,151595,137334,139429,138168,124021,133699,145945,169818,170611,148100,166393,231830,135570,284693,128509,85341,71401,84559,103058.8,135279,126288,223682,149651,126643,132614,158202,185257,222822,182517,176614,252460,173963,221847,106083,99610,153313,103381,89127,120406,109335,66016,82301,100447,99455,167714.9,163189,126893,188694,185713,114408,96188,129371,91601,260064,236610,170279,131113,208778,140690,69666,144054,158617,98501,201272,117251,208115,208169,229790,197652,176921,77732,113895,89578,86105,78775,99992,79421,81173,114769,20194.47,81365,166280,132731,193001,180329,83793,88761
623054,1049345,881756,895901,638956,911734,489266,548009,1312278,416394,1031269,1694665,1262815,691424,642068,721124,712443,498110,1321583,435619,409548,302004,689718,9932.873,277201,1155610,826439,776611,894328,1098997,185943,667630,520883,2330514,813201,1119604,498611,1195430,1055935,527168,846673,999048,1144074,1653592,1462699,2303.282,566102,1222567,843489,438326,880832,1257111,366220,714519.2,1238011,1518045,481644,877749,479238,1914251,567260,1988090,1238655,898000,5503.919,2120394,1122630,784391,1615405,642637,335635,860498,744859,969608,487795,1412398,448870,398079,1354479,2101274,740957,1470946,1290421,499750,469609,539595,421170,1323730,1816368,967064,607379,651647,782037,1230122,828481,746313,829090,1366970,571969,1696705,999484,1023323,2299394,1478810,755132,771796,722247,607234,1973670,1509207,377930,860428,745634,314776,736928,1053508,1183646,696256,858795,436068,668131
8061,12293,16244.1,8661.515,8965,12722,6899.33,11760,11863,10990,56760,11579,12283,13736.3,15147,10731,13258,58388,10686,6853,24544,26291,26790,22130,23203,24912.55,6851,5386,5052,28637,35508,7188,24253,8233,10340,13017,10133,7605,6275,40814.34,9700,12945,57188,37402,51381.38,38580,38547,54389,30448,30381,22425,21441,24586,10007.3,8849.54,14206,13530.77,17662,12531.31,12133,11522,13718,10505,14056,21024,12860,16084,9867,22728,28397,5554,6274,6505.561,7480,7919,4848,24134,24507,35899,16209,11332,54113,46903,24141,21247,29871,22420,4351.724,11426,12444,6957,10760,14511,12665,13815,33498,9186,12438,13978,13072,15842,64972,52065.23,12126,7510,5178,23373,22956,5148,7458,4724.943,6063,5728,7838,21026.91,42448,11180.2,10009.29,46150,17450,23944
6892.533,15218,10824.05,9415,5740,10520,9773.209,12605,15045,11739,10742.67,14935.65,9678,13704.23,8280.661,7289.627,7460,11975,20164,4771.76,5766,7559.479,11842.29,8381,9463,11070.21,7152,4161,5779,8195,10163,5572,5003.585,5549.144,40590,20585,4292.45,14132,9783,7663,10652,15727,15622.29,12383,9406,8773,6723,11369,9074,5387,9206,5725,8352.273,5666,6074,10485,6301.967,13112.66,9647.493,32887,7168,7193.03,6822.226,7939,13281,10272.53,5741.779,5195,6114.152,6797,10511,7718,4530.394,4119,5823,6597,5786,5372,12221.86,9844,30005,10236,10475,5741,7320,8096,8056.262,3020.903,5417,14366,4522.818,12727.23,13360,19414,10978.79,9929.532,22354.23,6145.193,14628,12102.65,10413,18851.55,16784,9991.33,5346,8608.082,6022.453,5742,4941,4347,6616,10584,4032,5816,4531.707,12447,9224,14456,14739,6474,6453
111573,260944,258261,249730,181964,193911,139529,290363,208200,140310,164319,144522,272429,161052,461411.5,201342,233660,306294,157402,113502,107130,123314,167620,120170,112823,207108,145008,107786,139495,62491,102587,82529,85433,98680,161060,176570,259086,423354,156357,206208,177175,205038,813238,229699,141298,266562,121222,199222,102755,169659,156673,76555,129357,93765,70908,355303,132534,251388,149909,201121,116929,104849,192947,243393,283373,159255,190614,117935,71746,104232,105997,100139,143758,131682,125429,61179,126872,109877,126491,314189,257466,89451,174334,480878,111856,146970,285902,82283,107236,125620,89915,79419,238813,177942,220885,104386,134664,216007,181231,296460,243247,220165,101184,172726,130744,37746,133912,114088,72431,128346,76419,88930,121649,175577,147055,272172,263466,144348,196443,66035,68384
