ID,IUPAC Name,PubChem CID
0,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,17100
1,"1-[(1R,7R)-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone",6429350
2,5-octyloxolan-2-one,16821
3,"2,3,3-trimethylpenta-1,4-diene",136569
4,"2,6-ditert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one",146102
5,N-propylhexan-1-amine,29996
6,2-ethylhexan-1-ol,7720
7,2-but-3-enoxycarbonylbenzoic acid,13596727
8,"2-[(2,4,4,6,6,8,8-heptamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocan-2-yl)oxy]-2,4,4,6,6,8,8,10,10-nonamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",551986
9,"[2,2,4-trimethyl-3-(2-methylpropanoyloxy)pentyl] 2-methylpropanoate",23284
10,"1-(2,4-dimethylphenyl)-2,4-dimethylbenzene",520958
11,"(E)-3-(2,4-dimethoxyphenyl)-1-(2-hydroxyphenyl)prop-2-en-1-one",6041429
12,bis[[(3-ethylphenoxy)-dimethylsilyl]oxy]-dimethylsilane,91742720
13,bis(2-ethylhexyl) (E)-but-2-enedioate,5370325
14,2-(hydroxymethyl)-2-methylpyrrolidine-1-carbaldehyde,574439
15,2-benzyl-1-morpholin-4-yl-3-phenylpropan-2-ol,567717
16,"(E)-3-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]heptan-1-yl)prop-2-enal",5370158
17,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate,21630
18,"3-ethyl-3-[4-(hydroxyamino)phenyl]piperidine-2,6-dione",137353
19,"(5-oxooxolan-2-yl)methyl 3,5-dinitrobenzoate",558880
20,"3,5-ditert-butyl-4-hydroxybenzaldehyde",73219
21,"3,6,6-trimethylcyclohex-2-en-1-one",141033
22,(4-trimethylsilyloxybenzoyl) 4-trimethylsilyloxybenzoate,91731726
23,5H-cyclopenta[b]pyridine,575987
24,1-phenylethanone,7410
25,1-O-butyl 6-O-propan-2-yl hexanedioate,91713521
26,2-hydroxy-2-phenylpropanoic acid,1303
27,azulene,9231
28,benzaldehyde,240
29,"1,3,5-triethylbenzene",7602
30,1-ethyl-4-methylbenzene,12160
31,2-phenylacetaldehyde,998
32,2-phenylpropan-2-ol,12053
33,1-phenylpropan-1-ol,7147
34,(1R)-1-phenylethanol,637516
35,2-methylbutyl benzoate,103653
36,ethyl 4-ethoxybenzoate,90232
37,diphenylmethanone,3102
38,"1,3-benzothiazole",7222
39,phenylmethanol,244
40,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",8343
41,bis(2-ethylhexyl) carbonate,85781
42,cyclododecane,9268
43,"2,2,4,4,6,6,8,8,10,10,12,12,14,14-tetradecamethyl-1,3,5,7,9,11,13-heptaoxa-2,4,6,8,10,12,14-heptasilacyclotetradecane",7874
44,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18-octadecamethyl-1,3,5,7,9,11,13,15,17-nonaoxa-2,4,6,8,10,12,14,16,18-nonasilacyclclooctadecane",11172
45,"2,2,4,4,6,6,8,8,10,10,12,12,14,14,16,16-hexadecamethyl-1,3,5,7,9,11,13,15-octaoxa-2,4,6,8,10,12,14,16-octasilacyclohexadecane",11170
46,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",11169
47,"2,2,4,4,6,6-hexamethyl-1,3,5,2,4,6-trioxatrisilinane",10914
48,decane,15600
49,4-methyldecane,17835
50,4-methyldecane,17835
51,dodecanal,8194
52,dodecyl prop-2-enoate,75084
53,2-butoxyethanol,8133
54,2-phenoxyethanol,31236
55,2-phenoxyethyl acetate,22568
56,1-(3-acetylphenyl)ethanone,23229
57,ethylbenzene,7500
58,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",2758
59,2-pentylfuran,19602
60,(2S)-5-amino-2-(methylamino)-5-oxopentanoic acid,160669
61,"2,6,10,15-tetramethylheptadecane",41209
62,hexadecane,11006
63,"3,7-dimethyloct-7-en-3-ol",557859
64,methyl 2-hydroxybenzoate,4133
65,N-methyl-N-[2-(methylamino)ethyl]benzamide,13544681
66,5-ethyl-2-methyloctane,537332
67,"4-(2,4,4-trimethylpentan-2-yl)phenol",8814
68,trimethyl-[2-trimethylsilyloxy-1-(4-trimethylsilyloxyphenyl)ethoxy]silane,622436
69,trimethyl-[2-trimethylsilyloxy-1-(4-trimethylsilyloxyphenyl)ethoxy]silane,622436
70,"1,2-dimethoxy-4-(2-nitrophenyl)benzene",2709
71,2-methoxy-5-(methylthio)phenylacetic acid,40356
72,"3,5-dimethoxy-4-(methylthio)phenylmethanol",26761
73,"3,5-dimethoxy-4-(methylthio)phenylmethanol",26761
74,"1,3-bis(4-methylphenyl)-2-propyl-1-propene",20469
